"statut","fichier","acte","page","lecture_xml","lecture_imprimee","action","source"
"fidele_imprime","HDPO-HD.xml","HDPO-HD_0058","38","quod quod","quod quod","ne pas corriger comme faute de transcription","https://archive.org/download/cartulairedelhot00depo/page/n53_w800.jpg"
"fidele_imprime","HDPO-HD.xml","HDPO-HD_0080","54","ejus ejus","ejus ejus","ne pas corriger comme faute de transcription","https://archive.org/download/cartulairedelhot00depo/page/n69_w800.jpg"
"fidele_imprime","NDMT-AB.xml","NDMT-AB_0003","63","nominus nostri","nominus nostri","coquille de l'imprimé fidèlement transcrite","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6375736f/f75/full/full/0/default.jpg"
"fidele_imprime","NDMT-AB.xml","NDMT-AB_0146","255","dcti prioratus","dcti prioratus","coquille de l'imprimé fidèlement transcrite","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6375736f/f267/full/full/0/default.jpg"
"fidele_imprime","SCOR-EG.xml","SCOR-EG_0262","357","scitorum","scitorum","coquille ou leçon de l'imprimé fidèlement transcrite","https://archive.org/download/cartulairedesain00orl/page/n494_w800.jpg"
"fidele_imprime","SCOR-EG.xml","SCOR-EG_0358","480","mensse aprilli","mensse aprilli","coquille de l'imprimé fidèlement transcrite","https://archive.org/download/cartulairedesain00orl/page/n617_w800.jpg"
"fidele_imprime","SLES-PR.xml","SLES-PR_0108","105","eccclesie","eccclesie","coquille de l'imprimé fidèlement transcrite","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k406267s/f112/full/full/0/default.jpg"
"a_verifier","HDPAR-HD.xml","HDPAR-HD_0705","363","Santi Severini","Sancti Severini probable","retrouver l'édition; aucun fac-similé direct dans le XML",""
"a_verifier","MAUB-AB/MAUB-AB-01.xml","MAUB-AB-01_0274","132","mandamua","mandamus probable","collationner dans l'édition Gallica globale; aucun fac-similé n'est relié au pb","https://gallica.bnf.fr/ark:/12148/bpt6k992853w"
"a_verifier","MAUB-AB/MAUB-AB-01.xml","MAUB-AB-01_0438","163","suis suis juribus","suis juribus probable","collationner dans l'édition Gallica globale; aucun fac-similé n'est relié au pb","https://gallica.bnf.fr/ark:/12148/bpt6k992853w"
"a_verifier","NDMT-AB.xml","NDMT-AB_0004","64","tenneram","teneram probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6375736f/f76/full/full/0/default.jpg"
"a_verifier","NDMV-AB.xml","NDMV-AB_0075","54","cens cens","cens probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k4860673/f55/full/full/0/default.jpg"
"a_verifier","NDPA-EG/NDPA-EG-01.xml","NDPA-EG-01_0540","","gordus gordus de Castello","gordus de Castello probable","retrouver la page exacte",""
"a_verifier","NDPA-EG/NDPA-EG-04.xml","NDPA-EG-04_0214","127","dictii Johannis","dicti Johannis probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k65348823/f141/full/full/0/default.jpg"
"a_verifier","SAPC-AB.xml","SAPC-AB_0038","92","Parisicnsis","Parisiensis probable","retrouver l'édition; aucun fac-similé direct dans le XML",""
"a_verifier","SAPC-AB.xml","SAPC-AB_0356","486","Parsiensis","Parisiensis probable","retrouver l'édition; aucun fac-similé direct dans le XML",""
"a_verifier","SLES-PR.xml","SLES-PR_0190","154","trecentesimo trecentesimo","trecentesimo probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k406267s/f161/full/full/0/default.jpg"
"a_verifier","SMCP-PR.xml","SMCP-PR_0459","31","Sanctii Remigii","Sancti Remigii probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110141g/f34/full/full/0/default.jpg"
"a_verifier","SMCP-PR.xml","SMCP-PR_0524","119","ecelesie","ecclesie probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k110141g/f122/full/full/0/default.jpg"
"a_verifier","SMCP-PR.xml","SMCP-PR_0835","4_0024","annno Domini","anno Domini probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k255715c/f27/full/full/0/default.jpg"
"a_verifier","SMPA-AB/SMPA-AB-01.xml","SMPA-AB-01_0078","","Acctum","Actum probable","retrouver la page exacte",""
"a_verifier","SMPA-EG.xml","SMPA-EG_0050","","Perisiensis","Parisiensis probable","retrouver la page exacte",""
"a_verifier","SMPA-EG.xml","SMPA-EG_0054","157","Prarisiensis","Parisiensis probable","retrouver la page exacte",""
"a_verifier","STEP-AB.xml","STEP-AB_0039","41","Saucti Arnulphi","Sancti Arnulphi probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k486068g/f51/full/full/0/default.jpg"
"a_verifier","STEP-AB.xml","STEP-AB_0073","83","saluttem in Domino","salutem in Domino probable","comparer au fac-similé","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k486068g/f93/full/full/0/default.jpg"
