index,prefix,descriptif_identique,ids,nb,textes
PERSONNES,HDPAR-HD,guillelmus de vere magno miles,HDPAR-HD_rs_2707 HDPAR-HD_rs_2708,2,"Guillelmus de Vere Magno, miles . || Guillelmus de Vere Magno, miles ."
PERSONNES,HDPAR-HD,guillelmus de viriaco,HDPAR-HD_rs_2713 HDPAR-HD_rs_2714,2,Guillelmus de Viriaco . || Guillelmus de Viriaco .
PERSONNES,HDPAR-HD,guillelmus scotus,HDPAR-HD_rs_2758 HDPAR-HD_rs_2759,2,Guillelmus Scotus . || Guillelmus Scotus .
PERSONNES,HDPAR-HD,hamericus archidiaconus in ecclesia parisiensi,HDPAR-HD_rs_2796 HDPAR-HD_rs_2797,2,"Hamericus, archidiaconus in ecclesia Parisiensi . || Hamericus, archidiaconus in ecclesia Parisiensi ."
PERSONNES,SMPO-AB,henri deliés,SMPO-AB_rs_0844 SMPO-AB_rs_0845,2,Henri Deliés . || Henri Deliés .
PERSONNES,HDPAR-HD,henricus de sancto marcello,HDPAR-HD_rs_2929 HDPAR-HD_rs_2930,2,Henricus de Sancto Marcello . || Henricus de Sancto Marcello .
PERSONNES,HDPAR-HD,hubertus de castelleto,HDPAR-HD_rs_3071 HDPAR-HD_rs_3072,2,Hubertus de Castelleto . || Hubertus de Castelleto .
PERSONNES,HDPAR-HD,jacobus boucelli,HDPAR-HD_rs_3233 HDPAR-HD_rs_3234,2,"Jacobus Boucelli . || Jacobus Boucelli, C 479."
PERSONNES,SMPO-AB,jean valet,SMPO-AB_rs_1079 SMPO-AB_rs_1080,2,Jean Valet . || Jean Valet .
PERSONNES,HDPAR-HD,johannes carnifex,HDPAR-HD_rs_3365 HDPAR-HD_rs_3430,2,"Johannes, carnifex . || Johannes Carnifex ."
PERSONNES,HDPAR-HD,johannes de corbolio,HDPAR-HD_rs_3473 HDPAR-HD_rs_3474,2,"Johannes de Corbolio . || Johannes de Corbolio, C 490."
PERSONNES,HDPAR-HD,johannes faber,HDPAR-HD_rs_3571 HDPAR-HD_rs_3572 HDPAR-HD_rs_3573,3,Johannes Faber . || Johannes Faber . || Johannes Faber .
PERSONNES,HDPAR-HD,johannes lecot,HDPAR-HD_rs_3593 HDPAR-HD_rs_3594,2,Johannes Lecot . || Johannes Lecot .
PERSONNES,HDPAR-HD,johannes major,HDPAR-HD_rs_3603 HDPAR-HD_rs_3604,2,Johannes Major . || Johannes Major .
PERSONNES,HDPAR-HD,johannes normannus,HDPAR-HD_rs_3614 HDPAR-HD_rs_3615,2,"Johannes Normannus , C 488. || Johannes Normannus ."
PERSONNES,HDPAR-HD,lecot johannes,HDPAR-HD_rs_3757 HDPAR-HD_rs_3758,2,Lecot (Johannes) . || Lecot (Johannes) .
PERSONNES,HDPAR-HD,major johannes,HDPAR-HD_rs_3921 HDPAR-HD_rs_3922,2,Major (Johannes) . || Major (Johannes) .
PERSONNES,HDPAR-HD,milo,HDPAR-HD_rs_4304 HDPAR-HD_rs_4305,2,Milo . || Milo .
PERSONNES,NDVC-AB,medunta johannes de p,NDVC-AB_rs_2935 NDVC-AB_rs_2936,2,"Medunta (Johannes de), p., Vaux-de-Cernay, acte 415. || Medunta, (Johannes de), p. ; t.ii, p. Vaux-de-Cernay, acte 28, Vaux-de-Cernay, acte 76bis ."
PERSONNES,HDPAR-HD,nemore radulphus de miles,HDPAR-HD_rs_4503 HDPAR-HD_rs_4504,2,"Nemore (Radulphus de), miles . || Nemore (Radulphus de), miles ."
PERSONNES,HDPAR-HD,normannus johannes,HDPAR-HD_rs_4607 HDPAR-HD_rs_4608,2,"Normannus (Johannes) , C 488. || Normannus (Johannes) ."
PERSONNES,SMPA-AB-01,odo,SMPA-AB-01_rs_1675 SMPA-AB-01_rs_1676,2,"Odo, Saint-Magloire, tome I, acte 16. || Odo, Saint-Magloire, tome I, acte 29."
PERSONNES,HDPAR-HD,odo archidiaconus in ecclesia parisiensi,HDPAR-HD_rs_4682 HDPAR-HD_rs_4683,2,"Odo, archidiaconus in ecclesia Parisiensi . || Odo, archidiaconus in ecclesia Parisiensi ."
PERSONNES,HDPAR-HD,odo de vere magno miles,HDPAR-HD_rs_4719 HDPAR-HD_rs_4720,2,"Odo de Vere Magno, miles . || Odo de Vere Magno, miles ."
PERSONNES,SMPO-AB,orielde,SMPO-AB_rs_0570 SMPO-AB_rs_1204,2,Orielde . || Orielde .
PERSONNES,HDPAR-HD,pelliparius richardus,HDPAR-HD_rs_5181 HDPAR-HD_rs_5182,2,"Pelliparius (Richardus) . || Pelliparius (Richardus), C 490."
PERSONNES,HDPAR-HD,periers philippus de,HDPAR-HD_rs_5191 HDPAR-HD_rs_5192,2,"Periers (Philippus de) . || Periers (Philippus de), C 473."
PERSONNES,HDPAR-HD,petrus clericus,HDPAR-HD_rs_5265 HDPAR-HD_rs_5266 HDPAR-HD_rs_5351,3,"Petrus, clericus . || Petrus, clericus . || Petrus Clericus ."
PERSONNES,HDPAR-HD,petrus marescallus,HDPAR-HD_rs_5297 HDPAR-HD_rs_5408,2,"Petrus, marescallus . || Petrus Marescallus ."
PERSONNES,HDPAR-HD,petrus de charenton,HDPAR-HD_rs_5341 HDPAR-HD_rs_5342,2,Petrus de Charenton . || Petrus de Charenton .
PERSONNES,HDPAR-HD,petrus frater de domo dei,HDPAR-HD_rs_5268 HDPAR-HD_rs_5269,2,"Petrus (Frater), de Domo Dei . || Petrus (Frater), de Domo Dei ."
PERSONNES,HDPAR-HD,philippus de periers,HDPAR-HD_rs_5495 HDPAR-HD_rs_5496,2,"Philippus de Periers . || Philippus de Periers, C 473."
PERSONNES,NDVC-AB,ponte guillelmus de p,NDVC-AB_rs_3663 NDVC-AB_rs_3664,2,"Ponte (Guillelmus de), p., Vaux-de-Cernay, acte 29, Vaux-de-Cernay, acte 39. || Ponte, (Guillelmus de), p., Vaux-de-Cernay, acte 466."
PERSONNES,NDVC-AB,ponte johannes de,NDVC-AB_rs_3665 NDVC-AB_rs_3670,2,"Ponte (Johannes de), t.ii, p., Vaux-de-Cernay, acte 29 . || Ponte (Johannes de) t.ii, p., Vaux-de-Cernay, acte 24."
PERSONNES,HDPAR-HD,radulphus de compendio,HDPAR-HD_rs_5740 HDPAR-HD_rs_5741,2,Radulphus de Compendio . || Radulphus de Compendio .
PERSONNES,HDPAR-HD,radulphus de nemore miles,HDPAR-HD_rs_5746 HDPAR-HD_rs_5747,2,"Radulphus de Nemore, miles . || Radulphus de Nemore, miles ."
PERSONNES,SMPO-AB,raoul prieur,SMPO-AB_rs_1298 SMPO-AB_rs_1299,2,"Raoul, prieur . || Raoul, prieur ."
PERSONNES,HDPAR-HD,richardus pelliparius,HDPAR-HD_rs_5915 HDPAR-HD_rs_5916,2,"Richardus Pelliparius . || Richardus Pelliparius, C 490."
PERSONNES,HDPAR-HD,robertus abbas sancti victoris,HDPAR-HD_rs_5943 HDPAR-HD_rs_5944,2,"Robertus, abbas Sancti Victoris . || Robertus, abbas Sancti Victoris ."
PERSONNES,HDPAR-HD,robertus olearius,HDPAR-HD_rs_5966 HDPAR-HD_rs_6048,2,"Robertus, olearius . || Robertus Olearius, C 482."
PERSONNES,HDPAR-HD,robertus sutor,HDPAR-HD_rs_5975 HDPAR-HD_rs_6059,2,"Robertus, sutor . || Robertus Sutor ."
PERSONNES,HDPAR-HD,robinus stephanus de compenso,HDPAR-HD_rs_6062 HDPAR-HD_rs_6066,2,"Robinus (Stephanus), de Compenso . || Robinus (Stephanus), de Compenso ."
PERSONNES,SMPA-AB-01,rotbertus monachus [sancti maglorii],SMPA-AB-01_rs_2095 SMPA-AB-01_rs_2096,2,"Rotbertus, monachus [Sancti Maglorii], Saint-Magloire, tome I, acte 34. || Rotbertus, monachus [Sancti Maglorii], Saint-Magloire, tome I, acte 16."
PERSONNES,NDVC-AB,rogerius prior vallium sarnaii vid rogerius presbiter,NDVC-AB_rs_3969 NDVC-AB_rs_3970,2,"Rogerius, prior Vallium Sarnaii, vid. Rogerius, presbiter. || Rogerius, prior Vallium Sarnaii, vid. Rogerius, presbiter."
PERSONNES,HDPAR-HD,sancto marcello henricus de,HDPAR-HD_rs_6254 HDPAR-HD_rs_6255,2,Sancto Marcello (Henricus de) . || Sancto Marcello (Henricus de) .
PERSONNES,HDPAR-HD,scotus guillelmus,HDPAR-HD_rs_6345 HDPAR-HD_rs_6346,2,Scotus (Guillelmus) . || Scotus (Guillelmus) .
PERSONNES,HDPAR-HD,stephanus archidiaconus in ecclesia parisiensi,HDPAR-HD_rs_6473 HDPAR-HD_rs_6474,2,"Stephanus, archidiaconus in ecclesia Parisiensi , C 476. || Stephanus, archidiaconus in ecclesia Parisiensi ."
PERSONNES,HDPAR-HD,stephanus de moreto,HDPAR-HD_rs_6508 HDPAR-HD_rs_6509,2,"Stephanus de Moreto . || Stephanus de Moreto , C 495."
PERSONNES,NDVC-AB,sancto johannes de p,NDVC-AB_rs_4062 NDVC-AB_rs_4100,2,"Sancto, (Johannes de), p., Vaux-de-Cernay, acte 31. || Sancto, (Johannes de), p., Vaux-de-Cernay, acte 275."
PERSONNES,NDVC-AB,sancto petrus de p,NDVC-AB_rs_4077 NDVC-AB_rs_4083,2,"Sancto, (Petrus de), p., Vaux-de-Cernay, acte 102 . || Sancto, (Petrus de), p., Vaux-de-Cernay, acte 365, Vaux-de-Cernay, acte 470 , Vaux-de-Cernay, acte 484, Vaux-de-Cernay, "
PERSONNES,NDVC-AB,sancto robertus de p,NDVC-AB_rs_4073 NDVC-AB_rs_4078,2,"Sancto, (Robertus de), p., Vaux-de-Cernay, acte 474. || Sancto, (Robertus de), p., Vaux-de-Cernay, acte 99 ."
PERSONNES,NDVC-AB,sarnaio odo de p,NDVC-AB_rs_4129 NDVC-AB_rs_4130,2,"Sarnaio, (Odo de), p., Vaux-de-Cernay, acte 37. || Sarnaio, (Odo de), p., Vaux-de-Cernay, acte 206 ; t.ii, p. Vaux-de-Cernay, acte 24."
PERSONNES,NDVC-AB,soisiaco guido de p,NDVC-AB_rs_4222 NDVC-AB_rs_4223,2,"Soisiaco, (Guido de), p., Vaux-de-Cernay, acte 29. || Soisiaco, (Guido de), p., Vaux-de-Cernay, acte 393."
PERSONNES,SMPA-EG,temple,SMPA-EG_rs_2170 SMPA-EG_rs_2169,2,"Temple. || Temple, Saint-Merry de Paris, acte 9 ."
PERSONNES,SMPO-AB,thierry de montmorency,SMPO-AB_rs_1549 SMPO-AB_rs_1550,2,Thierry de Montmorency . || Thierry de Montmorency .
PERSONNES,SMPA-AB-01,val,SMPA-AB-01_rs_2509 SMPA-AB-01_rs_2509_1,2,"Val-Notre-Dame (abbaye du), O.C., Val d’Oise, arrondissement de Pontoise, canton de L’Isle-Adam, Saint-Magloire, tome I, || Val-Notre-Dame hôtel à Paris, rue de Hueleu, à l’enseigne de l’Image Notre-Dame, la meson le Val Nostre Dame, l’ostel du"
PERSONNES,HDPAR-HD,vere magno gaufridus de,HDPAR-HD_rs_6920 HDPAR-HD_rs_6921 HDPAR-HD_rs_6922,3,Vere Magno (Gaufridus de) . || Vere Magno (Gaufridus de) . || Vere Magno (Gaufridus de) .
PERSONNES,HDPAR-HD,vere magno guillelmus de miles,HDPAR-HD_rs_6924 HDPAR-HD_rs_6925,2,"Vere Magno (Guillelmus de), miles . || Vere Magno (Guillelmus de), miles ."
PERSONNES,HDPAR-HD,vere magno odo de miles,HDPAR-HD_rs_6928 HDPAR-HD_rs_6929,2,"Vere Magno (Odo de), miles . || Vere Magno (Odo de), miles ."
PERSONNES,SMPA-AB-01,versailles four,SMPA-AB-01_rs_2536_5 SMPA-AB-01_rs_2537_3,2,"Versailles four, Saint-Magloire, tome I, acte 51 || Versailles four, Saint-Magloire, tome I, acte 159"
PERSONNES,HDPAR-HD,villa nova andreas de,HDPAR-HD_rs_7002 HDPAR-HD_rs_7003,2,Villa Nova (Andreas de) . || Villa Nova (Andreas de) .
PERSONNES,HDPAR-HD,viriaco guillelmus de,HDPAR-HD_rs_7062 HDPAR-HD_rs_7063,2,Viriaco (Guillelmus de) . || Viriaco (Guillelmus de) .
PERSONNES,NDPA-EG-04,viriaco robertus de,NDPA-EG-04_rs_7419 NDPA-EG-04_rs_7431,2,"Viriaco (Robertus de), Notre-Dame de Paris, t. 1, acte 394. || Viriaco (Robertus de). Notre-Dame de Paris, t. 2, acte 557."
LIEUX,SMPA-EG,rue neuve,SMPA-EG_rs_1999 SMPA-EG_rs_2001,2,"Rue Neuve , Saint-Merry de Paris, acte 5, Saint-Merry de Paris, acte 14, Saint-Merry de Paris, acte 28, Saint-Merry de P || Rue Neuve-Saint-Merry, Saint-Merry de Paris, acte 48 ."
